epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.6553,1.58124,3.51922,1.89723,0.71399,0.65324,0.73374,0.34776,1.76269,2.06101,2.48264,0.0003875,0.0003875,0.0003875
2,115.09,1.53231,1.79384,1.80581,0.55939,0.36989,0.39075,0.16017,2.24847,2.69556,3.58282,0.000774506,0.000774506,0.000774506
3,165.605,1.62269,1.73771,1.86205,0.33751,0.18157,0.18975,0.06477,3.27227,4.00124,4.44753,0.00114831,0.00114831,0.00114831
4,214.694,1.68609,1.61576,1.86647,0.23852,0.27485,0.11688,0.03667,2.34674,4.1166,3.24591,0.00118812,0.00118812,0.00118812
5,266.772,1.61474,1.59481,1.81631,0.25084,0.32011,0.25999,0.10867,2.27932,3.0593,3.405,0.0011675,0.0011675,0.0011675
6,316.641,1.6473,1.54925,1.82675,0.25061,0.54038,0.38176,0.16686,1.97038,2.99022,2.57166,0.00114688,0.00114688,0.00114688
7,369.46,1.53872,1.46576,1.7554,0.39319,0.42245,0.34442,0.11064,2.53774,2.16748,3.04944,0.00112625,0.00112625,0.00112625
8,422.229,1.58484,1.40349,1.78563,0.70251,0.701,0.71125,0.31493,1.77444,1.68489,2.34223,0.00110563,0.00110563,0.00110563
9,473.1,1.50671,1.34035,1.70762,0.6965,0.69229,0.69239,0.28588,2.08595,1.54647,2.58998,0.001085,0.001085,0.001085
10,525.946,1.47078,1.29251,1.71075,0.74299,0.5039,0.39503,0.19982,1.76129,2.98739,2.32704,0.00106437,0.00106437,0.00106437
11,580.184,1.51608,1.32288,1.7378,0.62929,0.68252,0.71595,0.372,1.79276,1.40125,2.30921,0.00104375,0.00104375,0.00104375
12,632.305,1.49715,1.32588,1.74563,0.86086,0.71163,0.85176,0.45461,1.59622,1.10765,2.11385,0.00102312,0.00102312,0.00102312
13,682.181,1.50732,1.31219,1.72713,0.84823,0.76481,0.86354,0.43167,1.76076,1.079,2.25662,0.0010025,0.0010025,0.0010025
14,733.733,1.44598,1.28075,1.69443,0.79629,0.83935,0.84387,0.45752,1.56947,1.08395,2.12685,0.000981875,0.000981875,0.000981875
15,782.827,1.40225,1.17946,1.63589,0.85231,0.87859,0.88037,0.41555,1.6754,0.98237,2.17221,0.00096125,0.00096125,0.00096125
16,836.491,1.46091,1.19636,1.68913,0.89389,0.91033,0.92499,0.48617,1.54996,0.95246,2.06691,0.000940625,0.000940625,0.000940625
17,889.321,1.45917,1.18133,1.68909,0.77952,0.79444,0.78832,0.42689,1.55195,1.08719,2.06329,0.00092,0.00092,0.00092
18,941.055,1.43558,1.18136,1.65529,0.80326,0.85036,0.86951,0.47826,1.52532,0.95273,2.02335,0.000899375,0.000899375,0.000899375
19,992.812,1.44767,1.18405,1.71708,0.73661,0.71707,0.79446,0.36035,1.83515,1.24118,2.26416,0.00087875,0.00087875,0.00087875
20,1044.5,1.42526,1.13139,1.6503,0.69852,0.7135,0.71063,0.35768,1.72958,1.32383,2.17992,0.000858125,0.000858125,0.000858125
21,1095.92,1.39089,1.1036,1.61937,0.81774,0.75499,0.87345,0.47629,1.52818,0.97873,2.02672,0.0008375,0.0008375,0.0008375
22,1148.71,1.37159,1.11272,1.61436,0.79009,0.8368,0.8759,0.47447,1.52966,1.0229,2.00788,0.000816875,0.000816875,0.000816875
23,1201.89,1.41185,1.14159,1.63751,0.80068,0.82762,0.83119,0.42626,1.67523,1.16069,2.1045,0.00079625,0.00079625,0.00079625
24,1250.48,1.37263,1.10165,1.61415,0.76988,0.80498,0.78975,0.41254,1.59727,1.2049,2.06235,0.000775625,0.000775625,0.000775625
25,1301.38,1.38993,1.10383,1.62697,0.88276,0.88473,0.91465,0.53089,1.47811,0.89127,1.96965,0.000755,0.000755,0.000755
26,1354.97,1.33807,1.08826,1.62381,0.87455,0.87182,0.90725,0.48592,1.65988,0.94599,2.12763,0.000734375,0.000734375,0.000734375
27,1403.34,1.29128,1.04483,1.56311,0.7882,0.83638,0.86131,0.45671,1.60331,0.96006,2.11629,0.00071375,0.00071375,0.00071375
28,1454.11,1.36378,1.04474,1.6108,0.95513,0.87427,0.93566,0.53829,1.4338,0.78115,1.9153,0.000693125,0.000693125,0.000693125
29,1504.83,1.28709,0.9844,1.59399,0.89341,0.82144,0.88208,0.50888,1.54118,0.87594,2.01816,0.0006725,0.0006725,0.0006725
30,1555.52,1.33427,0.99746,1.60163,0.7699,0.83227,0.8294,0.4641,1.53239,1.02975,2.05466,0.000651875,0.000651875,0.000651875
31,1603.57,1.28559,1.03715,1.55317,0.8935,0.8643,0.90376,0.4671,1.7023,0.98709,2.17915,0.00063125,0.00063125,0.00063125
32,1657.93,1.26631,0.95526,1.54452,0.9488,0.84183,0.9339,0.51965,1.48763,0.84594,1.98647,0.000610625,0.000610625,0.000610625
33,1707.75,1.25047,0.94698,1.50992,0.92111,0.80391,0.89324,0.51408,1.58359,0.88996,2.05766,0.00059,0.00059,0.00059
34,1758.82,1.19016,0.89096,1.49491,0.84017,0.82786,0.88446,0.48117,1.63442,0.89026,2.11642,0.000569375,0.000569375,0.000569375
35,1809.53,1.21736,0.90065,1.51518,0.87644,0.78627,0.88885,0.43167,1.75135,0.95963,2.28748,0.00054875,0.00054875,0.00054875
36,1858.07,1.25732,0.90189,1.53861,0.74781,0.90117,0.85883,0.47772,1.45539,0.89767,1.97254,0.000528125,0.000528125,0.000528125
37,1907.98,1.22765,0.85506,1.50009,0.82568,0.79633,0.88324,0.48926,1.56948,0.94488,2.06351,0.0005075,0.0005075,0.0005075
38,1958.38,1.18552,0.85826,1.50428,0.87118,0.85673,0.89277,0.47857,1.5547,0.83792,2.10878,0.000486875,0.000486875,0.000486875
39,2008.09,1.253,0.87366,1.50878,0.8523,0.86658,0.89957,0.47253,1.64907,0.8304,2.11293,0.00046625,0.00046625,0.00046625
40,2059.5,1.20226,0.87999,1.49371,0.87159,0.87117,0.91952,0.4919,1.6316,0.88861,2.09979,0.000445625,0.000445625,0.000445625
41,2111.84,1.18698,0.85438,1.5002,0.93894,0.90264,0.94242,0.55861,1.52888,0.67533,2.00148,0.000425,0.000425,0.000425
42,2161.95,1.17371,0.83668,1.4733,0.93048,0.84621,0.92994,0.51396,1.56639,0.79775,2.01415,0.000404375,0.000404375,0.000404375
43,2211.27,1.1767,0.82253,1.50441,0.88832,0.85216,0.91186,0.53121,1.5028,0.75991,1.98184,0.00038375,0.00038375,0.00038375
44,2263.53,1.10468,0.81365,1.44526,0.831,0.91708,0.93082,0.52836,1.55523,0.78261,2.03918,0.000363125,0.000363125,0.000363125
45,2311.35,1.15842,0.79696,1.4582,0.83512,0.88854,0.90484,0.52369,1.55861,0.82624,2.04598,0.0003425,0.0003425,0.0003425
46,2361.15,1.15741,0.79238,1.47123,0.90837,0.89279,0.92869,0.5365,1.53081,0.71139,2.01978,0.000321875,0.000321875,0.000321875
47,2411.47,1.11772,0.80409,1.43414,0.96756,0.8422,0.93293,0.53989,1.50306,0.72167,2.03734,0.00030125,0.00030125,0.00030125
48,2459.98,1.09409,0.79957,1.41054,0.92474,0.8435,0.92117,0.54589,1.50772,0.73261,2.01174,0.000280625,0.000280625,0.000280625
49,2509.95,1.07229,0.77489,1.39369,0.93439,0.86719,0.93905,0.57517,1.40517,0.70992,1.89586,0.00026,0.00026,0.00026
50,2561.99,1.03306,0.72585,1.38774,0.92146,0.85891,0.91488,0.55919,1.44375,0.77143,1.94636,0.000239375,0.000239375,0.000239375
51,2623.79,1.18638,0.76342,1.63078,0.9264,0.87933,0.93747,0.54825,1.52093,0.67385,2.05266,0.00021875,0.00021875,0.00021875
52,2678.17,1.11634,0.66887,1.55959,0.92925,0.9187,0.95575,0.5403,1.46092,0.69569,1.98343,0.000198125,0.000198125,0.000198125
53,2732.57,1.10208,0.72194,1.53791,0.90185,0.88157,0.93116,0.55602,1.45643,0.69504,1.98684,0.0001775,0.0001775,0.0001775
54,2785.22,1.05201,0.60618,1.53544,0.91806,0.8584,0.91999,0.53829,1.55551,0.69282,2.08854,0.000156875,0.000156875,0.000156875
55,2835.89,1.05974,0.6359,1.51546,0.87427,0.90033,0.93303,0.5467,1.54307,0.67826,2.07132,0.00013625,0.00013625,0.00013625
56,2890.74,1.00517,0.6143,1.4581,0.85444,0.91742,0.90461,0.49243,1.6859,0.73005,2.22094,0.000115625,0.000115625,0.000115625
57,2943.27,0.98587,0.59365,1.46124,0.88404,0.84096,0.90756,0.53743,1.54957,0.7217,2.112,9.5e-05,9.5e-05,9.5e-05
58,2995.06,0.96803,0.57257,1.46687,0.88651,0.88638,0.90809,0.51896,1.57572,0.71922,2.1438,7.4375e-05,7.4375e-05,7.4375e-05
59,3048.23,0.97424,0.57013,1.44406,0.91021,0.90144,0.92613,0.51582,1.53813,0.72225,2.11037,5.375e-05,5.375e-05,5.375e-05
60,3097.82,0.9957,0.68329,1.42421,0.90154,0.87517,0.93199,0.54391,1.50954,0.71789,2.07554,3.3125e-05,3.3125e-05,3.3125e-05
